nazwa;klient;typ;powierzchnia;stadium;lokalizacja;link;opis;opis_pelny;zakres_bim;realizacja;zespol_autorski;wykonawca
Budynek produkcyjny;METROPLAN;Budynek biurowo-laboratoryjny;6 700 m²;Przetarg funkcjionalny;Bez lokalizacji;portfolio/produkcja3/;Nowoczesny budynek produkcyjny z zapleczem biurowo-socjalnym.;Budynek biurowo‑laboratoryjny zaprojektowany jako projekt koncepcyjny i przetargowy w celu poszukiwania optymalnej lokalizacji oraz opracowania układu funkcjonalnego w formule ideal plan layout, przygotowany wraz z zespołem Metroplan.; BIM management | Projekt przetargowy|Koordynacja branżowa|Kontrola kolizji ;2023;BMP - konstrukcja, MKJANURA - instalacje sanitarne, MKJANURA - instalacje elektryczne  i teletechniczne;
Budynek produkcyjny;METROPLAN;Budynek produkcyjny;72 000 m²;Koncepcja wielobranżowa;Opatówek;portfolio/produkcja1/;Nowoczesny budynek produkcyjny z zapleczem biurowym.;Obiekt przemysłowy dla branży spożywczej wykonany na zlecenie firmy Metroplan Polska, zaprojektowany jako hala produkcyjna o prostej, funkcjonalnej bryle z wyraźnie wydzieloną częścią produkcyjną, magazynową oraz biurowo-socjalną. Koncepcja zakłada realizację muzeum z trasą zwiedzania przebiegającą na różnych poziomach, umożliwiającą obserwację procesu produkcyjnego w przekroju funkcjonalnym obiektu. Kompozycja elewacji opiera się na powtarzalnym rytmie modułów i przeszkleń podkreślających strefy wejściowe i administracyjne, natomiast przestrzeń hali wykazuje dużą elastyczność funkcjonalną. Projekt uwzględnia wymagania branży spożywczej oraz wysokie standardy techniczne, a jednocześnie integruje elementy ekspozycyjne w strukturze przemysłowej bryły. Projekt przygotowany wraz z zespołem Metroplan.; BIM management | Koncepcja wielobrażowa|Koordynacja branżowa|Kontrola kolizji ;2021;BMP - konstrukcja, BMP- instalacje sanitarne, BMP - instalacje elektryczne   i teletechniczne, ARC2 - wtępna koncepcja muzeum;
Budynek produkcyjny;INTEGRA;Budynek produkcyjny;8 800 m²;Realizacja;Stoczek;portfolio/produkcja2/;Nowoczesny budynek produkcyjny z zapleczem biurowo-socjalnym.;Obiekt przemysłowy dla branży spożywczej, zaprojektowany zgodnie z wymaganiami sanitarnymi HACCP, o funkcjonalnym i czytelnym układzie przestrzennym. Bryła łączy strefę produkcyjną, magazynową oraz zaplecze biurowo-socjalne. W projekcie zastosowano szatnię przepustową o podwyższonym standardzie higienicznym, umożliwiającą kontrolowany przepływ pracowników pomiędzy strefami technologicznymi. Obiekt uzupełnia przyzakładowa podczyszczalnia ścieków, część mieszkalna dla pracowników pełniących stały nadzór nad produkcją oraz przestrzeń dla obsługi nadzorującej funkcjonowanie zakładu. Całość utrzymano w estetyce współczesnego obiektu przemysłowego o prostej, modułowej formie architektonicznej.; BIM management | Koncepcja wielobrażowa|Projekt budowlany| Projekt wykonawczy |Kontrola kolizji ;2016;ACI- PROJEKT - konstrukcja, PROINSTAL - instalacje sanitarne,MKJANURA - instalacje elektryczne  i teletechniczne;SKANSKA
Slavita Park;"	IG APARTMENTS";Budynek wielorodzinny;3890 m²;Realizacja;Kudowa Zdrój;portfolio/slavitapark1;Wielokondygnacyjny budynek mieszkalny z podziemnym parkingiem.;Wielokondygnacyjny budynek mieszkalny zlokalizowany w ścisłym centrum Kudowy-Zdrój, zaprojektowany jako zwarta, współczesna bryła o zróżnicowanej wysokości i czytelnym rytmie elewacji. Obiekt mieści 72 apartamenty o zróżnicowanej powierzchni – od 45 m² do 145 m², w tym dwupoziomowe apartamenty z tarasami zlokalizowanymi na najwyższej kondygnacji na dachu budynku. Projekt akcentuje poziome podziały balkonów i loggii, a zastosowane przeszklenia i stonowana kolorystyka elewacji pozwalają na harmonijne wpisanie obiektu w kontekst uzdrowiskowego otoczenia. Integralną częścią inwestycji jest podziemny parking dla mieszkańców, zapewniający obsługę komunikacyjną bez ingerencji w strefę parteru. Sylwetka budynku została ukształtowana tak, aby eksponować strefę tarasów dachowych jako charakterystyczny element kompozycyjny obiektu.;BIM management |Projekt koncepcyjny|Projekt budowlany|Koordynacja międzybranzowa|LOD350;2021;RM Projekt - konstrukcja, BILAN - instalacje sanitarne, CORRENTEA- instalacje elektryczne i teletechniczne;"	IG APARTMENTS"
Budynek produkcyjny;KOMA TOMASZ MAGIERA;Budynek produkcyjny;32 000 m²;Realizacja;Legnica;portfolio/produkcja/;Nowoczesny budynek produkcyjny z zapleczem biurowym.;Hala przemysłowa o prostej, funkcjonalnej formie architektonicznej, oparta na geometrycznej bryle z wyraźnie wydzieloną częścią biurowo-socjalną oraz produkcyjną. Elewacje utrzymano w powtarzalnym, modułowym układzie paneli i przeszkleń, zgodnym z rytmem konstrukcji obiektu. Strefa produkcyjna została zaprojektowana jako przestrzeń o dużych rozpiętościach umożliwiających elastyczne zagospodarowanie technologiczne, z bezpośrednim dostępem do stref logistycznych, manewrowych i magazynowych. W obiekcie przewidziano również część magazynową wspierającą procesy produkcyjne, a część biurowo-socjalna została podkreślona większym udziałem przeszklenia i bardziej uporządkowaną kompozycją elewacji. Całość utrzymano w estetyce współczesnego obiektu przemysłowego o wysokiej funkcjonalności operacyjnej.;Projekt budowlany| Projekt wykonawczy |Projekt powykonawczy |LOD350;2026;KOMA - konstrukcja, MKJANURA - instalacje sanitarne, MKJANURA - instalacje elektryczne  i teletechniczne;TAKENAKA
RetailPark;"	IG APARTMENTS";Budynek handlowy;23000 m2 ;Koncepcja;Słubice;portfolio/slubice/;Nowoczesny park handlowy z funkcją usługową i komunikacją pieszo-samochodową.;Nowoczesny park handlowy o czytelnej, modułowej strukturze architektonicznej, zaprojektowany jako zespół parterowych pawilonów usługowo-handlowych z dominantą dużych przeszkleń witrynowych. Forma obiektu utrzymana jest w minimalistycznej, współczesnej stylistyce, z zastosowaniem prostych podziałów elewacyjnych i stonowanej palety materiałowej. Układ przestrzenny opiera się na wygodnej komunikacji pieszej pomiędzy lokalami oraz funkcjonalnym systemie obsługi komunikacji samochodowej, w tym rozbudowanej strefie parkingowej. Projekt zakłada elastyczność aranżacji powierzchni najmu oraz integrację obiektu z otoczeniem poprzez uporządkowaną przestrzeń publiczną i elementy zieleni.;Projekt koncepcyjny|Bilans mas ziemnych|Wizualizacje;2018;;
PaprotnaPark;INVEST GRUPA;Budynek biurowy;17500 m2 ;Koncepcja;Wrocław;portfolio/paprotna/;Nowoczesny park handlowy z funkcją usługową i komunikacją pieszo-samochodową.;Budynek biurowy o współczesnej, wyrazistej bryle, kształtowanej przez dynamiczne linie dachu i zróżnicowaną wysokość poszczególnych części obiektu. Kompozycja architektoniczna opiera się na zestawieniu przeszklonych elewacji z pełnymi płaszczyznami okładzin, co podkreśla podział funkcjonalny budynku i nadaje mu lekki, nowoczesny charakter. Duże przeszklenia zapewniają dobre doświetlenie przestrzeni biurowych, a rytmiczny układ podziałów elewacyjnych porządkuje skalę obiektu. Forma budynku została ukształtowana w sposób podkreślający reprezentacyjny charakter funkcji biurowej oraz czytelność stref wejściowych.;Projekt koncepcyjny;2019;;
RetailPark;INVEST GRUPA;Budynek handlowy;4024 m2 ;Koncepcja;Piotrków Trybunalski;portfolio/piotrkow/;Nowoczesny park handlowy z funkcją usługową i komunikacją pieszo-samochodową.;Nowoczesny park handlowy o czytelnej, modułowej strukturze architektonicznej, zaprojektowany jako zespół parterowych pawilonów usługowo-handlowych z dominantą dużych przeszkleń witrynowych. Forma obiektu utrzymana jest w minimalistycznej, współczesnej stylistyce, z zastosowaniem prostych podziałów elewacyjnych i stonowanej palety materiałowej. Układ przestrzenny opiera się na wygodnej komunikacji pieszej pomiędzy lokalami oraz funkcjonalnym systemie obsługi komunikacji samochodowej, w tym rozbudowanej strefie parkingowej. Projekt zakłada elastyczność aranżacji powierzchni najmu oraz integrację obiektu z otoczeniem poprzez uporządkowaną przestrzeń publiczną i elementy zieleni.;Projekt koncepcyjny;2017;;
Budynek produkcyjny;SUPERDROB;Budynek produkcyjny;5125 m2 ;Realizacja;Łódź;portfolio/lodz/;Nowoczesny budynek produkcyjny z zapleczem biurowym.;Zakład produkcji spożywczej produktów gotowych, łączący funkcje produkcyjne, magazynowe i biurowe. Obiekt obejmuje halę produkcyjną, mroźnię oraz magazyn mroźniczy wysokiego składowania, umożliwiający efektywne przechowywanie produktów. Część biurowa i socjalna została wydzielona w obrębie obiektu, tworząc czytelny układ funkcjonalny wspierający procesy technologiczne i logistykę zakładu. Bryła budynku została zaprojektowana w sposób czytelny i funkcjonalny, podkreślając hierarchię przestrzeni produkcyjnej i magazynowej.;Projekt koncepcyjny|Projekt budowlany|Projekt Wykonawczy |Koordynacja międzybranzowa|LOD350-400;2013;FORT POLSKA - konstrukcja;EIFFAGE BUDOWNICTWO
Gagarinski center;BLANK ARCHITECTS;Budynek handlowy;208000 m2 ;Realizacja;Moskwa;portfolio/gagarinski/;Wielokondygnacyjne centrum handlowe;Wielokondygnacyjne centrum handlowe zlokalizowane w centrum Moskwy, łączące funkcje handlowe, gastronomiczne i biurowe. Obiekt obejmuje dwukondygnacyjny hipermarket, strefę restauracyjną oraz kompleks biur, połączony przestrzennie z pozostałymi częściami centrum. Integralną częścią inwestycji jest trzykondygnacyjny podziemny parking na 2700 miejsc, zapewniający sprawną obsługę komunikacyjną całego kompleksu. Bryła budynku została zaprojektowana w sposób czytelny i funkcjonalny, eksponując podział funkcji oraz umożliwiając wygodne poruszanie się klientów i pracowników.;Piotr Choromański (IA) jako LEAD Architect wraz wieloosobowym zespołem Group-Arch |Projekt koncepcyjny|Projekt budowlany|Projekt Wykonawczy |Koordynacja międzybranzowa|Dokumentacja 2D;2010;;EUROSTROY
